model,hidden_size,pooling,epochs,optimizer,accuracy
DeepRNN,32,max,100,RMSprop,0.5530612244897959
DeepRNN,32,max,100,Adam,0.563265306122449
DeepRNN,32,max,250,SGD,0.5102040816326531
DeepRNN,32,max,250,RMSprop,0.5673469387755102
DeepRNN,32,max,250,Adam,0.5612244897959183
DeepRNN,32,max,350,SGD,0.5040816326530613
DeepRNN,32,max,350,RMSprop,0.5806122448979592
DeepRNN,32,max,350,Adam,0.5520408163265306
DeepRNN,32,avg,5,SGD,0.4816326530612245
DeepRNN,32,avg,5,RMSprop,0.5510204081632653
DeepRNN,32,avg,5,Adam,0.536734693877551
DeepRNN,32,avg,50,SGD,0.5081632653061224
DeepRNN,32,avg,50,RMSprop,0.5755102040816327
DeepRNN,32,avg,50,Adam,0.5673469387755102
DeepRNN,32,avg,100,SGD,0.5183673469387755
DeepRNN,32,avg,100,RMSprop,0.573469387755102
DeepRNN,32,avg,100,Adam,0.5673469387755102
DeepRNN,32,avg,250,SGD,0.5183673469387755
DeepRNN,32,avg,250,RMSprop,0.5683673469387756
DeepRNN,32,avg,250,Adam,0.5622448979591836
DeepRNN,32,avg,350,SGD,0.513265306122449
DeepRNN,32,avg,350,RMSprop,0.5612244897959183
DeepRNN,32,avg,350,Adam,0.5673469387755102
DeepRNN,64,max,5,SGD,0.48673469387755103
DeepRNN,64,max,5,RMSprop,0.5469387755102041
DeepRNN,64,max,5,Adam,0.539795918367347
DeepRNN,64,max,50,SGD,0.5163265306122449
DeepRNN,64,max,50,RMSprop,0.5489795918367347
DeepRNN,64,max,50,Adam,0.560204081632653
DeepRNN,64,max,100,SGD,0.5214285714285715
DeepRNN,64,max,100,RMSprop,0.5387755102040817
DeepRNN,64,max,100,Adam,0.5479591836734694
DeepRNN,64,max,250,SGD,0.5183673469387755
DeepRNN,64,max,250,RMSprop,0.5479591836734694
DeepRNN,64,max,250,Adam,0.5510204081632653
DeepRNN,64,max,350,SGD,0.5193877551020408
DeepRNN,64,max,350,RMSprop,0.5459183673469388
DeepRNN,64,max,350,Adam,0.5540816326530612
DeepRNN,64,avg,5,SGD,0.4897959183673469
DeepRNN,64,avg,5,RMSprop,0.5265306122448979
DeepRNN,64,avg,5,Adam,0.5428571428571428
DeepRNN,64,avg,50,SGD,0.5193877551020408
DeepRNN,64,avg,50,RMSprop,0.5530612244897959
DeepRNN,64,avg,50,Adam,0.560204081632653
DeepRNN,64,avg,100,SGD,0.5163265306122449
DeepRNN,64,avg,100,RMSprop,0.5663265306122449
DeepRNN,64,avg,100,Adam,0.5530612244897959
DeepRNN,64,avg,250,SGD,0.5163265306122449
DeepRNN,64,avg,250,RMSprop,0.5448979591836735
DeepRNN,64,avg,250,Adam,0.5540816326530612
DeepRNN,64,avg,350,SGD,0.5204081632653061
DeepRNN,64,avg,350,RMSprop,0.5520408163265306
DeepRNN,64,avg,350,Adam,0.5459183673469388
