model,hidden_size,pooling,epochs,optimizer,accuracy
BiRNN,16,max,5,SGD,0.48775510204081635
BiRNN,16,max,5,RMSprop,0.5459183673469388
BiRNN,16,max,5,Adam,0.5479591836734694
BiRNN,16,max,50,SGD,0.5255102040816326
BiRNN,16,max,50,RMSprop,0.5418367346938775
BiRNN,16,max,50,Adam,0.5561224489795918
BiRNN,16,max,100,SGD,0.5255102040816326
BiRNN,16,max,100,RMSprop,0.5551020408163265
BiRNN,16,max,100,Adam,0.5663265306122449
BiRNN,16,max,250,SGD,0.5377551020408163
BiRNN,16,max,250,RMSprop,0.5520408163265306
BiRNN,16,max,250,Adam,0.5744897959183674
BiRNN,16,max,350,SGD,0.5275510204081633
BiRNN,16,max,350,RMSprop,0.5530612244897959
BiRNN,16,max,350,Adam,0.5663265306122449
BiRNN,16,avg,5,SGD,0.5
BiRNN,16,avg,5,RMSprop,0.5316326530612245
BiRNN,16,avg,5,Adam,0.5336734693877551
BiRNN,16,avg,50,SGD,0.5265306122448979
BiRNN,16,avg,50,RMSprop,0.5653061224489796
BiRNN,16,avg,50,Adam,0.5704081632653061
BiRNN,16,avg,100,SGD,0.5326530612244897
BiRNN,16,avg,100,RMSprop,0.5571428571428572
BiRNN,16,avg,100,Adam,0.573469387755102
BiRNN,16,avg,250,SGD,0.5255102040816326
BiRNN,16,avg,250,RMSprop,0.563265306122449
BiRNN,16,avg,250,Adam,0.5653061224489796
BiRNN,16,avg,350,SGD,0.523469387755102
BiRNN,16,avg,350,RMSprop,0.5612244897959183
BiRNN,16,avg,350,Adam,0.5581632653061225
BiRNN,32,max,5,SGD,0.5081632653061224
BiRNN,32,max,5,RMSprop,0.539795918367347
BiRNN,32,max,5,Adam,0.5357142857142857
BiRNN,32,max,50,SGD,0.5336734693877551
BiRNN,32,max,50,RMSprop,0.5612244897959183
BiRNN,32,max,50,Adam,0.5826530612244898
BiRNN,32,max,100,SGD,0.5285714285714286
BiRNN,32,max,100,RMSprop,0.5622448979591836
BiRNN,32,max,100,Adam,0.5693877551020409
BiRNN,32,max,250,SGD,0.5255102040816326
BiRNN,32,max,250,RMSprop,0.5418367346938775
BiRNN,32,max,250,Adam,0.5673469387755102
BiRNN,32,max,350,SGD,0.5316326530612245
BiRNN,32,max,350,RMSprop,0.55
BiRNN,32,max,350,Adam,0.576530612244898
BiRNN,32,avg,5,SGD,0.5102040816326531
BiRNN,32,avg,5,RMSprop,0.5346938775510204
BiRNN,32,avg,5,Adam,0.5469387755102041
BiRNN,32,avg,50,SGD,0.5285714285714286
BiRNN,32,avg,50,RMSprop,0.5591836734693878
BiRNN,32,avg,50,Adam,0.5551020408163265
BiRNN,32,avg,100,SGD,0.5326530612244897
BiRNN,32,avg,100,RMSprop,0.5571428571428572
BiRNN,32,avg,100,Adam,0.5612244897959183
BiRNN,32,avg,250,SGD,0.5265306122448979
BiRNN,32,avg,250,RMSprop,0.563265306122449
BiRNN,32,avg,250,Adam,0.5622448979591836
BiRNN,32,avg,350,SGD,0.5295918367346939
BiRNN,32,avg,350,RMSprop,0.563265306122449
BiRNN,32,avg,350,Adam,0.5622448979591836
BiRNN,64,max,5,SGD,0.513265306122449
BiRNN,64,max,5,RMSprop,0.5295918367346939
BiRNN,64,max,5,Adam,0.5346938775510204
BiRNN,64,max,50,SGD,0.5255102040816326
BiRNN,64,max,50,RMSprop,0.55
BiRNN,64,max,50,Adam,0.5693877551020409
BiRNN,64,max,100,SGD,0.5285714285714286
BiRNN,64,max,100,RMSprop,0.563265306122449
BiRNN,64,max,100,Adam,0.5571428571428572
BiRNN,64,max,250,SGD,0.5265306122448979
BiRNN,64,max,250,RMSprop,0.5510204081632653
BiRNN,64,max,250,Adam,0.5693877551020409
BiRNN,64,max,350,SGD,0.5255102040816326
BiRNN,64,max,350,RMSprop,0.5581632653061225
BiRNN,64,max,350,Adam,0.5571428571428572
BiRNN,64,avg,5,SGD,0.513265306122449
BiRNN,64,avg,5,RMSprop,0.523469387755102
BiRNN,64,avg,5,Adam,0.539795918367347
BiRNN,64,avg,50,SGD,0.5255102040816326
BiRNN,64,avg,50,RMSprop,0.5479591836734694
BiRNN,64,avg,50,Adam,0.5551020408163265
BiRNN,64,avg,100,SGD,0.5285714285714286
BiRNN,64,avg,100,RMSprop,0.5683673469387756
BiRNN,64,avg,100,Adam,0.5530612244897959
BiRNN,64,avg,250,SGD,0.5244897959183673
BiRNN,64,avg,250,RMSprop,0.5479591836734694
BiRNN,64,avg,250,Adam,0.5591836734693878
BiRNN,64,avg,350,SGD,0.5275510204081633
BiRNN,64,avg,350,RMSprop,0.5714285714285714
BiRNN,64,avg,350,Adam,0.5428571428571428
